Index,Value
0.0,78.01708304167194
1.0,78.01883243885791
2.0,78.02433411969477
3.0,78.0340554583876
4.0,78.04946769642004
5.0,78.05471387370983
6.0,78.05631339827774
7.0,78.05880386039675
8.0,78.06146423787824
9.0,78.07475306949345
10.0,78.08030686758785
11.0,78.08173878291916
12.0,78.13365029693492
13.0,78.17563677187941
14.0,78.21618942037126
15.0,78.22948880725559
16.0,78.25364664084185
17.0,78.2573554181672
18.0,78.28285902674924
19.0,78.32651777077038
20.0,78.34114927554543
21.0,78.35482793523964
22.0,78.36840855611324
23.0,78.38488011259517
24.0,78.39097471502153
25.0,78.4050778368849
26.0,78.4466005401434
27.0,78.4779721496194
28.0,78.50802534383429
29.0,78.50858219114185
30.0,78.54410429742686
31.0,78.54550269445456
32.0,78.60823873943583
33.0,78.61798282029194
34.0,78.61816277025916
35.0,78.62998683744225
36.0,78.64550189899883
37.0,78.648734561756
38.0,78.65554435324447
39.0,78.65695037828853
40.0,78.67629251631975
41.0,78.77050204877658
42.0,78.77223676245804
43.0,78.79625226870895
44.0,78.80156690050462
45.0,78.82445971914119
46.0,78.8541025298299
47.0,78.85596475129391
48.0,78.86397638509678
49.0,78.86531462833007
50.0,78.99856997697648
51.0,79.0280769888045
52.0,79.03068350423767
53.0,79.04129200490372
54.0,79.0513748207254
55.0,79.07440761387268
56.0,79.08675297404133
57.0,79.10082859458412
58.0,79.10504057850665
59.0,79.14299256287086
60.0,79.15629097432102
61.0,79.17931510938219
62.0,79.20420734035986
63.0,79.23080320949808
64.0,79.26661661575547
65.0,79.27685721437227
66.0,79.28075447169346
67.0,79.30438395601328
68.0,79.30602793627816
69.0,79.30820808680227
70.0,79.36676420769994
71.0,79.39082875544929
72.0,79.42833253122049
73.0,79.43379342820317
74.0,79.4583474732054
75.0,79.47552119291927
76.0,79.52779085603888
77.0,79.53579830996779
78.0,79.6036073013518
79.0,79.62052671148564
80.0,79.64881340831882
81.0,79.67339285373986
82.0,79.72106773275088
83.0,79.75555086227651
84.0,79.76706825008094
85.0,79.76722110264959
86.0,79.77571894512596
87.0,79.79009905837366
88.0,79.84064904666243
89.0,79.89597062695918
90.0,79.91519347620567
91.0,79.98781298182008
92.0,80.0074343419399
93.0,80.0453311117466
94.0,80.05087302686168
95.0,80.0563469418945
96.0,80.10212593095618
97.0,80.11763857611416
98.0,80.1311508547587
99.0,80.15833492157424
100.0,80.19514567605397
101.0,80.20673043458231
102.0,80.20791373082493
103.0,80.2432547822774
104.0,80.29468786974788
105.0,80.31189706851202
106.0,80.34724144676775
107.0,80.4502408344458
108.0,80.46658229644972
109.0,80.46734901210775
110.0,80.4774264601393
111.0,80.48368155847865
112.0,80.48741859848268
113.0,80.55618922674661
114.0,80.57977905381885
115.0,80.63229331366456
116.0,80.64110320689905
117.0,80.7713477186489
118.0,80.78469855103538
119.0,80.7852085154033
120.0,80.85072941098542
121.0,80.86488090175928
122.0,80.86771295285241
123.0,80.98161251220857
124.0,81.00897215353314
125.0,81.01236444829864
126.0,81.11516921222548
127.0,81.12199488938819
128.0,81.1228947339921
129.0,81.14907062783058
130.0,81.20452577611533
131.0,81.26801396199329
132.0,81.30268014109274
133.0,81.35280485486547
134.0,81.37883287731592
135.0,81.45209334378013
136.0,81.48641484456701
137.0,81.63727559664059
138.0,81.71283157685298
139.0,81.71635552216651
140.0,81.74743000729872
141.0,81.78281815057831
142.0,81.85008925455162
143.0,81.89889184210837
144.0,81.90873468670085
145.0,82.06802477260409
146.0,82.24781058691438
147.0,82.31545376020053
148.0,82.4135256096443
149.0,82.43704418770206
150.0,82.4708255355889
151.0,82.55574739419282
152.0,82.6517920999142
153.0,82.67396448068342
154.0,82.70166983195449
155.0,82.74567033319128
156.0,82.78539545827333
157.0,82.87635357291478
158.0,82.94953712418523
159.0,82.99223062977602
160.0,83.04351266629533
161.0,83.07346618779597
162.0,83.14126149485111
163.0,83.2324743947314
164.0,83.23572434730461
165.0,83.37744237431673
166.0,83.40615543912722
167.0,83.40857781194798
168.0,83.45042885167669
169.0,83.48072158658127
170.0,83.48958160281043
171.0,83.65027843260205
172.0,83.77821403991324
173.0,83.83259720492339
174.0,83.95709986879453
175.0,84.2019712992012
176.0,84.26243036779748
177.0,84.27058551768283
178.0,84.3082536888268
179.0,84.312789255186
180.0,84.40413893638127
181.0,84.50514493957442
182.0,84.56184522523871
183.0,84.6613336911479
184.0,84.82507529788806
185.0,84.8684402219418
186.0,84.88680082034507
187.0,85.01965731925061
188.0,85.02581061669744
189.0,85.06980563589154
190.0,85.07638480088394
191.0,85.11813908440774
192.0,85.28685249236554
193.0,85.33548238071356
194.0,85.42578772212917
195.0,85.55000680571708
196.0,85.60603670640565
197.0,85.86200586155262
198.0,85.91005228752542
199.0,85.93895500710578
200.0,86.09001045301058
201.0,86.31122423111435
202.0,86.34311673721125
203.0,86.34392013436558
204.0,86.56764220742882
205.0,86.6104762552197
206.0,86.78118005226911
207.0,86.82350185707676
208.0,86.86100827423051
209.0,86.9114890866727
210.0,87.17902621816603
211.0,87.18831853705828
212.0,87.29362494329891
213.0,87.37159935631433
214.0,87.75304798458019
215.0,88.03120427895104
216.0,88.08445512261949
217.0,88.17147667711299
218.0,88.46420737484198
219.0,88.59858427991509
220.0,88.65065524776709
221.0,89.08590277615535
222.0,89.71209597600156
223.0,90.06880224201883
224.0,90.21706680929339
225.0,90.39363044374218
226.0,90.61317612926916
227.0,90.62798383633216
228.0,91.17605618403563
229.0,91.26427203427806
